,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
114,龜山區,房地(土地+建物),桃園市龜山區華亞三路199巷1~30號,14.03,住,,,1081226,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,93.8,2,1,1,有,有,6250000,66631.0,,0.0,0,,RPQOMLSKKHPFFHH76CA
115,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,153.3,3,1,2,有,有,9500000,64161.0,坡道平面,31.73,1700000,,RPSOMLSKKHPFFHH96CA
116,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,20.62,住,,,1081226,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,171.06,3,1,2,有,有,11500000,70896.0,坡道平面,32.83,1700000,,RPTOMLSKKHPFFHH07CA
117,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.13,住,,,1081226,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,159.92,3,1,2,有,有,10120000,66252.0,坡道平面,32.83,1700000,,RPUOMLSKKHPFFHH17CA
118,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,126.63,2,1,1,有,有,8250000,70362.0,坡道平面,32.83,1650000,,RPVOMLSKKHPFFHH27CA
119,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,0.12,住,,,1081226,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205.0,154.39,3,1,2,有,有,9800000,66634.0,坡道平面,32.83,1700000,,RPXOMLSKKHPFFHH47CA
123,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路91~120號,25.78,商,,,1090114,土地1建物1車位2,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040511.0,283.93,4,2,3,有,有,15000000,52830.0,坡道平面,0.0,0,,RPQNMLNKKHPFFGH68CA
125,八德區,房地(土地+建物)+車位,桃園市八德區中路南街1~30號,25.84,住,,,1081104,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001207.0,188.18,4,2,2,有,有,11000000,58455.0,坡道平面,0.0,0,,RPWNMLRKKHPFFFH96CA
126,平鎮區,房地(土地+建物)+車位,桃園市平鎮區大興街1~30號,12.17,商,,,1081218,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040416.0,109.25,2,2,1,有,有,5300000,48513.0,坡道平面,0.0,0,,RPQNMLPJKHPFFGH78CA
128,八德區,房地(土地+建物)+車位,桃園市八德區豐田五街1~30號,28.97,住,,,1090101,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020823.0,184.86,3,2,2,有,有,8320000,45007.0,坡道平面,36.08,0,,RPTOMLOKKHPFFFH09CA
130,八德區,房地(土地+建物)+車位,桃園市八德區廣興一路1~30號,12.35,商,,,1081215,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120.0,121.18,2,2,1,有,有,6050000,49926.0,坡道平面,24.91,0,,RPSNMLLKKHPFFFH58CA
132,八德區,房地(土地+建物)+車位,桃園市八德區銀和街27巷2弄1~30號,12.37,住,,,1081221,土地1建物2車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,870729.0,119.67,2,2,1,有,有,5380000,44957.0,升降機械,0.0,0,,RPOOMLKKKHPFFFH18CA
134,八德區,房地(土地+建物)+車位,桃園市八德區金和路61~90號,11.09,其他,,,1090115,土地1建物2車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040827.0,152.81,3,2,2,有,有,11700000,76571.0,坡道平面,0.0,0,,RPSNMLRJKHPFFFH09CA
137,八德區,房地(土地+建物)+車位,桃園市八德區廣興二路1~30號,26.98,商,,,1081229,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120.0,222.86,3,2,2,有,無,9500000,42628.0,坡道平面,0.0,0,,RPROMLOJKHPFFFH78CA
140,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南福街61~90號,22.34,住,,,1081227,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890405.0,194.57,4,2,2,有,有,12550000,64501.0,坡道平面,0.0,0,,RPQPMLRKKHPFFEH09CA
142,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1080705,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925.0,185.98,3,2,2,有,有,14600000,85556.0,坡道平面,36.36,1800000,,RPPNMLNLKHPFFEH48CA
210,中壢區,房地(土地+建物)+車位,桃園市中壢區環中東路206巷1~30號,13.07,其他,,,1081211,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930515.0,136.71,3,2,2,有,有,7780000,56909.0,坡道平面,0.0,0,,RPQNMLRJKHPFFBH48CA
225,桃園區,房地(土地+建物),桃園市桃園區民有五街91~120號,13.69,住,,,1081128,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931231.0,120.78,3,2,2,有,有,6600000,54645.0,,0.0,0,,RPQOMLPKKHPFFAH38CA
227,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路385巷1~30號,20.5,住,,,1081231,土地4建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060821.0,142.95999999999995,3,2,2,有,有,11150000,77356.0,坡道平面,24.03,1950000,,RPXPMLSKKHPFFAH86CA
229,桃園區,房地(土地+建物),桃園市桃園區民光東路181~210號,10.34,住,,,1081217,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920918.0,92.22,2,1,1,有,有,5850000,63435.0,,0.0,0,,RPOPMLMKKHPFFAH97CA
230,桃園區,房地(土地+建物)+車位,桃園市桃園區文中二路1~30號,17.48,住,,,1090107,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080520.0,139.76,2,2,1,有,有,8960000,74189.0,坡道平面,43.25,1800000,,RPRQMLNKKHPFFAH48CA
231,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路468巷1~30號,22.29,住,,,1090114,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080916.0,174.79000000000005,3,2,2,有,有,11630000,74074.0,坡道平面,41.41,1750000,,RPTQMLNKKHPFFAH68CA
232,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路468巷1~30號,22.29,住,,,1090114,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080916.0,174.9,3,2,2,有,有,11750000,76410.0,坡道平面,41.41,1550000,,RPUQMLNKKHPFFAH78CA
234,桃園區,房地(土地+建物),桃園市桃園區中山路847巷1~30號,13.3,住,,,1081225,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891228.0,124.49,3,2,2,有,有,6500000,52213.0,,0.0,0,,RPUNMLQJKHPFFAH68CA
235,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路336巷1~30號,32.9,住,,,1081215,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060713.0,194.54,3,2,2,有,有,14300000,84698.0,坡道平面,36.33,900000,,RPSOMLQJKHPFFAH58CA
237,桃園區,房地(土地+建物)+車位,桃園市桃園區中華路31~60號,11.96,商,,,1081130,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070910.0,132.73000000000002,2,2,1,有,有,13100000,114896.0,坡道平面,33.51,1700000,,RPUPMLPJKHPFFAH78CA
238,桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,15.11,住,,,1081228,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515.0,120.98,2,2,1,有,有,6630000,64872.0,坡道平面,40.36,1400000,,RPQNMLRJKHPFFAH38CA
239,桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,20.4,住,,,1081212,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515.0,148.83,3,2,2,有,有,8780000,67515.0,坡道平面,38.78,1350000,,RPRNMLRJKHPFFAH48CA
240,桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街31~60號,15.11,住,,,1081217,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515.0,120.98,2,2,1,有,有,6050000,57678.0,坡道平面,40.36,1400000,,RPSNMLRJKHPFFAH58CA
241,桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段331~360號,10.63,商,,,1081216,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950910.0,113.87,2,2,1,有,有,7300000,64108.0,坡道平面,0.0,0,,RPTPMLRJKHPFFAH88CA
243,桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,41.3,住,,,1081113,土地1建物1車位2,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507.0,316.01,3,2,3,有,有,32080000,107104.0,坡道平面,50.1,3600000,,RPURMLRJKHPFFAH56CA
246,桃園區,房地(土地+建物)+車位,桃園市桃園區同德六街1~30號,45.03,商,,,1080625,土地1建物1車位3,二十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060920.0,585.05,4,2,4,有,有,73250000,133089.0,坡道平面,75.24,5400000,,RPUOMLLKKHPFFAH38CA
247,桃園區,房地(土地+建物),桃園市桃園區埔新路121~150號,11.15,商,,,1081230,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950829.0,86.08,2,1,1,有,有,5500000,63894.0,,0.0,0,,RPTOMLRJKHPFFAH78CA
248,桃園區,房地(土地+建物),桃園市桃園區莊敬路一段361~390號,11.15,住,,,1081214,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840626.0,106.23,3,2,2,有,有,6080000,57234.0,,0.0,0,,RPTOMLQJKHPFFAH68CA
252,桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段181巷1~30號,19.84,住,,,1081209,土地1建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840519.0,152.63,3,2,2,有,有,8000000,52414.0,坡道平面,0.0,0,,RPWPMLLKKHPFFAH68CA
253,桃園區,房地(土地+建物)+車位,桃園市桃園區新埔八街1~30號,80.72,住,,,1081108,土地1建物1車位3,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020620.0,556.92,5,3,4,有,有,49930000,93773.0,坡道平面,72.45,4500000,,RPXOMLOKKHPFFAH98CA
257,桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉六街181~210號,15.68,住,,,1090105,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020607.0,133.04,2,2,1,有,有,6300000,47354.0,坡道平面,41.53,0,,RPQNMLTKKHPFFAH68CA
261,桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路61~90號,16.04,住,,,1081213,土地1建物1車位1,十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070426.0,131.45,2,2,1,有,無,10460000,93634.0,坡道平面,37.36,1650000,,RPPQMLSKKHPFFAH78CA
262,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路841~870號,38.47,住,,,1090114,土地1建物1車位2,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080904.0,286.3300000000001,3,2,2,有,有,25300000,105047.0,坡道平面,81.66,3800000,,RPSPMLSKKHPFFAH98CA
263,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路841~870號,38.47,住,,,1090116,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080904.0,286.3300000000001,3,2,2,有,有,25000000,104559.0,坡道平面,81.66,3600000,,RPUPMLSKKHPFFAH56CA
268,桃園區,房地(土地+建物)+車位,桃園市桃園區中埔六街1~30號,21.55,住,,,1081118,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850131.0,149.26,3,2,1,有,有,8950000,59962.0,坡道平面,0.0,0,,RPPNMLLJLHPFFAH77CA
339,楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街275巷31~60號,17.1,住,,,1081227,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925.0,126.65,2,1,1,有,有,5500000,43427.0,坡道平面,0.0,0,,RPVPMLQJKHPFFDH66CA
343,楊梅區,房地(土地+建物),桃園市楊梅區金山街275巷1~30號,22.54,住,,,1081228,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925.0,155.67,3,2,2,有,有,6300000,40470.0,,0.0,0,,RPTSMLKKKHPFFDH88CA
344,楊梅區,房地(土地+建物),桃園市楊梅區中山北路一段390巷45弄31~60號,15.39,住,,,1081219,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830625.0,94.78,3,2,2,有,有,2900000,30597.0,,0.0,0,,RPPOMLKKKHPFFDH08CA
359,八德區,房地(土地+建物)+車位,桃園市八德區建德路241~270號,15.71,商,,,1090102,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006.0,142.41000000000003,2,2,1,有,有,6880000,48311.0,坡道平面,33.06,0,,RPPOMLRJKHPFFFH88CA
364,平鎮區,房地(土地+建物)+車位,桃園市平鎮區廣明路61~90號,22.15,住,,,1081223,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,910509.0,231.93,4,2,2,有,有,13800000,59501.0,坡道平面,45.22,0,,RPPOMLQJKHPFFGH88CA
365,平鎮區,房地(土地+建物),桃園市平鎮區南京路241~270號,22.75,住,,,1081217,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021209.0,153.57,3,2,2,有,有,7800000,50791.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLQJKHPFFGH98CA
369,平鎮區,房地(土地+建物)+車位,桃園市平鎮區福壽路1~30號,26.95,住,,,1081217,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080820.0,162.5,3,2,2,有,有,7760000,47310.0,坡道平面,27.01,1350000,,RPVNMLKKKHPFFGH88CA
371,平鎮區,房地(土地+建物),桃園市平鎮區環南路二段271~300號,21.92,住,,,1090108,土地1建物2車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880726.0,224.49,5,2,3,有,有,11400000,50782.0,,0.0,0,,RPOOMLRJKHPFFGH88CA
373,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路121~150號,17.7,商,,,1090114,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040511.0,184.56,3,2,2,有,有,7800000,42263.0,坡道平面,0.0,0,,RPROMLLKLHPFFGH78CA
375,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路91~120號,23.86,商,,,1090105,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040511.0,225.83,4,2,2,有,有,11280000,49949.0,坡道平面,0.0,0,,RPWNMLLKLHPFFGH56CA
376,平鎮區,房地(土地+建物),桃園市平鎮區榮興街1~30號,11.72,住,,,1081217,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840221.0,76.69,2,2,1,有,有,3120000,40683.0,,0.0,0,,RPOOMLMJLHPFFGH48CA
384,龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路31~60號,8.01,商,,,1090113,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870430.0,93.21,2,2,2,有,無,7350000,78854.0,坡道平面,0.0,0,,RPVOMLKKKHPFFHH09CA
389,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街1~30號,20.41,住,,,1081216,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080924.0,151.53,3,2,2,有,有,10720000,69074.0,坡道平面,23.84,1900000,,RPPNMLLLKHPFFHH58CA
391,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街1~30號,20.41,住,,,1081218,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080924.0,151.53,3,2,2,有,有,10880000,70327.0,坡道平面,23.84,1900000,,RPTNMLTKKHPFFHH07CA
392,桃園區,房地(土地+建物)+車位,桃園市桃園區永順街88巷1~30號,32.27,住,,,1081230,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128.0,233.21,4,2,2,有,有,16780000,80126.0,坡道平面,42.51,1500000,,RPTQMLRKKHPFFAH56DA
393,桃園區,房地(土地+建物)+車位,桃園市桃園區民有十二街1~30號,38.23,住,,,1081208,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030520.0,248.3,4,2,2,有,有,16800000,74208.0,坡道平面,59.64,2800000,,RPUQMLSKKHPFFAH76DA
398,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區奉化路151~180號,22.53,其他,,,1081126,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940131.0,155.7,3,2,1,有,有,9800000,62942.0,坡道平面,0.0,0,含增建或未登記建物。;,RPSQMLLKKHPFFEH88DA
400,八德區,房地(土地+建物)+車位,桃園市八德區仁德路61~90號,29.55,住,,,1081121,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021014.0,176.07,3,2,2,有,有,8700000,57546.0,坡道平面,45.74,1200000,含增建或未登記建物。;,RPXNMLKLKHPFFFH56DA
408,平鎮區,房地(土地+建物)+車位,桃園市平鎮區大連街121~150號,12.38,商,,,1081224,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701.0,127.27,2,2,1,有,有,6280000,54285.0,坡道平面,33.69,1200000,,RPXNMLNKKHPFFGH86DA
412,平鎮區,房地(土地+建物),桃園市平鎮區中豐路181~210號,9.45,住,,,1081220,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860501.0,79.91,2,2,1,有,有,3100000,38794.0,,0.0,0,,RPVOMLLKKHPFFGH56DA
414,八德區,房地(土地+建物)+車位,桃園市八德區廣興五街91~120號,26.99,住,,,1081229,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040416.0,168.75,3,2,2,有,有,8180000,52289.0,坡道平面,35.26,1200000,,RPXNMLRKKHPFFFH17DA
419,中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段300巷1~30號,11.6,其他,,,1081203,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,811223.0,163.35,3,2,2,有,有,8500000,45845.0,坡道平面,25.93,2200000,,RPQPMLKKKHPFFBH18DA
421,桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段61~90號,17.8,住,,,1090105,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850412.0,185.35,3,1,2,有,有,8800000,47478.0,坡道平面,0.0,1300000,含增建或未登記建物。;,RPUOMLKLKHPFFAH48DA
422,桃園區,房地(土地+建物),桃園市桃園區國豐六街31~60號,15.73,住,,,1081227,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961023.0,84.43,2,2,1,有,有,5450000,64551.0,,0.0,0,含增建或未登記建物。;,RPPRMLLKKHPFFAH28DA
424,桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路91~120號,13.06,住,,,1081216,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840425.0,128.04,2,2,1,有,有,5250000,48222.0,坡道平面,41.97,1100000,,RPTNMLTKKHPFFAH09DA
435,龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路331~360號,14.48,商,,,1090108,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050728.0,167.49,3,2,2,有,有,15460000,93810.0,坡道平面,26.14,2200000,,RPXNMLMKKHPFFHH76CA
446,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,20.38,住,,,1081124,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928.0,158.09,3,2,2,有,有,8080000,51748.0,坡道平面,27.07,1300000,,RPWNMLKKKHPFFGH98CA
447,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,21.64,住,,,1081215,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928.0,166.32,3,2,2,有,有,8470000,51131.0,坡道平面,27.07,1350000,,RPXNMLKKKHPFFGH09CA
448,八德區,房地(土地+建物)+車位,桃園市八德區豐田一路1~30號,26.25,住,,,1081118,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021021.0,153.19,3,2,2,有,有,7500000,48959.0,坡道平面,27.2,0,,RPVNMLPKKHPFFFH66CA
450,平鎮區,房地(土地+建物)+車位,桃園市平鎮區新德街211~240號,23.15,住,,,1081222,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070702.0,152.64,3,2,2,有,有,8250000,58190.0,坡道平面,36.64,1500000,,RPRNMLRJKHPFFGH09CA
469,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區錦中街31~60號,59.62,住,,,1090119,土地1建物1車位2,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010112.0,376.71,4,2,4,有,有,22000000,58400.0,坡道平面,0.0,0,,RPVNMLRJKHPFFEH66CA
496,中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街91~120號,13.83,住,,,1090104,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830607.0,113.42,2,2,1,有,有,6720000,59249.0,坡道平面,0.0,0,,RPXRMLNJLHPFFBH66CA
499,中壢區,房地(土地+建物),桃園市中壢區仁德八街1~30號,9.67,商,,,1081216,土地1建物3車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970714.0,81.88,2,1,1,有,有,3600000,43967.0,,0.0,0,,RPTQMLOJLHPFFBH88CA
539,中壢區,房地(土地+建物),桃園市中壢區金鋒四街61~90號,13.04,住,,,1090103,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920715.0,87.13,2,2,1,有,有,4770000,54746.0,,0.0,0,,RPUOMLRJKHPFFBH98CA
543,桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段61~90號,12.0,住,,,1090111,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850412.0,140.38,3,2,2,有,有,5510000,39251.0,坡道機械,0.0,0,,RPWSMLQLKHPFFAH96CA
545,桃園區,房地(土地+建物),桃園市桃園區縣府路271~300號,45.98,住,,,1090113,土地2建物2車位0,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790507.0,207.24,4,3,2,有,有,10900000,52596.0,,0.0,0,,RPOOMLRKKHPFFAH38CA
546,桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街181~210號,30.95,住,,,1081216,土地2建物1車位2,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980815.0,270.22,4,2,3,有,有,12800000,47369.0,坡道平面,60.22,0,,RPTOMLPKKHPFFAH68CA
547,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路251巷61~90號,41.74,住,,,1090105,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010115.0,295.95,4,2,2,有,有,25680000,86771.0,坡道平面,0.0,0,,RPROMLRKKHPFFAH68CA
549,桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路61~90號,22.3,住,,,1081031,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070426.0,171.01999999999995,3,2,2,有,無,12050000,78183.0,坡道平面,37.36,1600000,,RPQQMLSKKHPFFAH88CA
550,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路211~240號,12.29,商,,,1090105,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102.0,126.69,2,2,2,有,有,8780000,72518.0,坡道平面,28.37,1650000,,RPQTMLQLKHPFFAH09CA
551,桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路31~60號,14.75,商,,,1081213,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102.0,148.96,3,2,2,有,有,10380000,74882.0,坡道平面,28.37,1350000,,RPRTMLQLKHPFFAH56CA
552,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路211~240號,17.82,商,,,1090110,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102.0,176.75,4,2,2,有,有,11950000,70090.0,坡道平面,28.37,1550000,,RPSTMLQLKHPFFAH66CA
553,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路241~270號,17.82,商,,,1081207,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102.0,176.64999999999995,4,2,2,有,有,13850000,82277.0,坡道平面,28.37,1650000,,RPTTMLQLKHPFFAH76CA
