,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
499,中和區,房地(土地+建物),新北市中和區景平路989巷1~30號,9.37,住,,,1081225,土地5建物1車位0,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840612.0,79.78,2,2,1,有,有,8880000,111306.0,,0.0,0,,RPQPMLLKKHPFFHF68DA
508,板橋區,房地(土地+建物),新北市板橋區莊敬路31~60號,26.9,住,,,1081214,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961115.0,273.36,5,2,3,有,有,38250000,139925.0,,0.0,0,,RPVOMLQJKHPFFAF88EA
517,八里區,房地(土地+建物)+車位,新北市八里區龍米路二段31~60號,9.8,住,,,1090106,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021111.0,133.63,1,2,1,有,有,9800000,73342.0,坡道平面,36.34,0,,RPTQMLLKLHPFFEF98EA
525,五股區,房地(土地+建物)+車位,新北市五股區五福路61~90號,13.77,住,,,1081130,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851129.0,111.7,3,1,1,有,有,7580000,67860.0,坡道平面,0.0,0,夾層增建,RPPQMLRJKHPFFBF68EA
526,板橋區,房地(土地+建物),新北市板橋區新海路121~150號,7.62,商,,,1081201,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900724.0,138.73000000000002,3,2,2,有,無,20900000,150652.0,,0.0,0,含增建或未登記建物。;,RPWPMLLKLHPFFAF78EA
529,土城區,房地(土地+建物),新北市土城區明峰街31~60號,10.02,住,,,1081226,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850831.0,83.11,2,2,1,有,有,9360000,112622.0,,0.0,0,,RPRQMLKKLHPFFAF28EA
532,中和區,房地(土地+建物),新北市中和區永貞路271~300號,10.02,商,,,1081224,土地2建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840401.0,104.28,3,2,2,有,有,16500000,158228.0,,0.0,0,,RPVNMLSJKHPFFHF96DA
533,永和區,房地(土地+建物),新北市永和區環河西路二段181~210號,12.3,住,,,1081013,土地2建物1車位0,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,880827.0,140.3,4,2,2,有,有,17200000,122594.0,,0.0,0,含增建或未登記建物、權利人有兩位,RPWNMLSJKHPFFHF07DA
535,中和區,房地(土地+建物)+車位,新北市中和區南山路181~210號,23.11,住,,,1081030,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950623.0,242.31,5,2,3,有,有,29980000,128067.0,坡道平面,23.83,2000000,含增建或未登記建物。,RPOQMLKKKHPFFHF48DA
536,永和區,房地(土地+建物)+車位,新北市永和區中正路91~120號,11.67,住,,,1081117,土地3建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900411.0,116.06,3,2,2,有,有,14600000,138040.0,坡道機械,21.16,1500000,含增建或未登記建物。,RPVPMLRJKHPFFHF07DA
537,三重區,房地(土地+建物)+車位,新北市三重區三信路121~150號,30.24,住,,,1081222,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980330.0,168.79000000000005,3,2,2,有,有,21080000,136706.0,坡道平面,29.22,2000000,,RPPQMLRJKHPFFGF09DA
538,三重區,房地(土地+建物),新北市三重區中正南路211~240號,7.43,住,,,1081211,土地1建物1車位0,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021206.0,81.03999999999998,2,1,1,有,有,10500000,129566.0,,0.0,0,含增建或未登記建物。,RPOPMLRKKHPFFGF98DA
